Temperature_K,Wavelength_nm,n,k,Eg_eV
290,310.0,1.730131,0.9443386427031564,1.6459732388498893
290,320.0,1.7799790000000002,1.0372201368677365,1.6459732388498893
290,330.0,1.864991,1.124144927346704,1.6459732388498893
290,340.0,1.983935,1.1894938483178095,1.6459732388498893
290,350.0,2.127688,1.2179503399059877,1.6459732388498893
290,360.0,2.278865,1.1995813106408997,1.6459732388498893
290,370.0,2.4159010000000003,1.134920639685725,1.6459732388498893
290,380.0,2.5200880000000003,1.0354203851206027,1.6459732388498893
290,390.0,2.580311,0.9201306274987712,1.6459732388498893
290,400.0,2.596899,0.8111556898480097,1.6459732388498893
290,410.0,2.5819460000000003,0.725005207748029,1.6459732388498893
290,420.0,2.551511,0.6678441722705247,1.6459732388498893
290,430.0,2.5195030000000003,0.6385031600513339,1.6459732388498893
290,440.0,2.496845,0.6318016948735103,1.6459732388498893
290,450.0,2.4917830000000003,0.6393283051968922,1.6459732388498893
290,460.0,2.5086340000000003,0.6494939040261484,1.6459732388498893
290,470.0,2.5452440000000003,0.6494322303104717,1.6459732388498893
290,480.0,2.591999,0.629733713171735,1.6459732388498893
290,490.0,2.635436,0.5890977250023266,1.6459732388498893
290,500.0,2.6648780000000003,0.5342982755368287,1.6459732388498893
290,510.0,2.676517,0.47530579694565683,1.6459732388498893
290,520.0,2.672461,0.4202871538844386,1.6459732388498893
290,530.0,2.65742,0.37375473561172634,1.6459732388498893
290,540.0,2.6361630000000003,0.33720929223357443,1.6459732388498893
290,550.0,2.61252,0.3104243024000878,1.6459732388498893
290,560.0,2.589348,0.2923894778189216,1.6459732388498893
290,570.0,2.568836,0.2817440407784324,1.6459732388498893
290,580.0,2.552772,0.27680353608016056,1.6459732388498893
290,590.0,2.542576,0.27537832438911697,1.6459732388498893
290,600.0,2.5389790000000003,0.27462752610082675,1.6459732388498893
290,610.0,2.541327,0.27125811687283896,1.6459732388498893
290,620.0,2.546847,0.2629622157658675,1.6459732388498893
290,630.0,2.551889,0.24966092523880135,1.6459732388498893
290,640.0,2.553604,0.2334369362228928,1.6459732388498893
290,650.0,2.551165,0.21720381941447958,1.6459732388498893
290,660.0,2.545544,0.20324693915729608,1.6459732388498893
290,670.0,2.538511,0.1926795727662923,1.6459732388498893
290,680.0,2.531877,0.1856603300861455,1.6459732388498893
290,690.0,2.527259,0.18175898157455075,1.6459732388498893
290,700.0,2.52619,0.18011391059578616,1.6459732388498893
290,710.0,2.5303400000000003,0.17920164604378655,1.6459732388498893
290,720.0,2.5415520000000003,0.17606847397164455,1.6459732388498893
290,730.0,2.560954,0.16501366491538239,1.6459732388498893
290,740.0,2.585141,0.1376514937168718,1.6459732388498893
290,750.0,2.599373,0.0907934056543532,1.6459732388498893
290,760.0,2.584489,0.0406018053863398,1.6459732388498893
290,770.0,2.546402,0.011393332235594765,1.6459732388498893
290,780.0,2.510961,0.00473296260105301,1.6459732388498893
290,790.0,2.488591,0.0035116525105850773,1.6459732388498893
290,800.0,2.47141,0.0025341765717706638,1.6459732388498893
290,810.0,2.4571140000000002,0.0017693580498630668,1.6459732388498893
290,820.0,2.4447650000000003,0.001188067074532792,1.6459732388498893
290,830.0,2.433862,0.0007672179515768125,1.6459732388498893
290,840.0,2.4241040000000003,0.0004816448835661788,1.6459732388498893
290,850.0,2.415306,0.00029082887845577007,1.6459732388498893
290,860.0,2.407296,0.00015314223449956044,1.6459732388498893
290,870.0,2.399944,6.208491092481026e-05,1.6459732388498893
290,880.0,2.39316,1.3610318191551304e-05,1.6459732388498893
290,890.0,2.386877,0.0,1.6459732388498893
290,900.0,2.381053,0.0,1.6459732388498893
290,910.0,2.375619,0.0,1.6459732388498893
290,920.0,2.3705290000000003,0.0,1.6459732388498893
290,930.0,2.3657440000000003,0.0,1.6459732388498893
290,940.0,2.361232,0.0,1.6459732388498893
290,950.0,2.3569690000000003,0.0,1.6459732388498893
290,960.0,2.3529310000000003,0.0,1.6459732388498893
290,970.0,2.3490990000000003,0.0,1.6459732388498893
290,980.0,2.345456,0.0,1.6459732388498893
290,990.0,2.341987,0.0,1.6459732388498893
290,1000.0,2.338679,0.0,1.6459732388498893
290,1010.0,2.335519,0.0,1.6459732388498893
290,1020.0,2.332498,0.0,1.6459732388498893
290,1030.0,2.329606,0.0,1.6459732388498893
290,1040.0,2.326833,0.0,1.6459732388498893
290,1050.0,2.324174,0.0,1.6459732388498893
290,1060.0,2.321619,0.0,1.6459732388498893
290,1070.0,2.3191640000000002,0.0,1.6459732388498893
290,1080.0,2.316801,0.0,1.6459732388498893
290,1090.0,2.314527,0.0,1.6459732388498893
290,1100.0,2.312334,0.0,1.6459732388498893
290,1110.0,2.31022,0.0,1.6459732388498893
290,1120.0,2.30818,0.0,1.6459732388498893
290,1130.0,2.306209,0.0,1.6459732388498893
290,1140.0,2.304304,0.0,1.6459732388498893
290,1150.0,2.302463,0.0,1.6459732388498893
290,1160.0,2.3006800000000003,0.0,1.6459732388498893
290,1170.0,2.2989550000000003,0.0,1.6459732388498893
290,1180.0,2.297283,0.0,1.6459732388498893
290,1190.0,2.2956630000000002,0.0,1.6459732388498893
290,1200.0,2.2940910000000003,0.0,1.6459732388498893
300,250.0,1.720609,0.703452,1.6491301257110895
300,260.0,1.743234,0.708772,1.6491301257110895
300,270.0,1.742974,0.716601,1.6491301257110895
300,280.0,1.729297,0.741093,1.6491301257110895
300,290.0,1.714858,0.787915,1.6491301257110895
300,300.0,1.711886,0.856587,1.6491301257110895
300,310.0,1.731131,0.941993,1.6491301257110895
300,320.0,1.780979,1.034871,1.6491301257110895
300,330.0,1.865991,1.12225,1.6491301257110895
300,340.0,1.984935,1.188588,1.6491301257110895
300,350.0,2.128688,1.218488,1.6491301257110895
300,360.0,2.279865,1.201727,1.6491301257110895
300,370.0,2.416901,1.138453,1.6491301257110895
300,380.0,2.521088,1.03977,1.6491301257110895
300,390.0,2.581311,0.924487,1.6491301257110895
300,400.0,2.597899,0.814798,1.6491301257110895
300,410.0,2.582946,0.727562,1.6491301257110895
300,420.0,2.552511,0.669241,1.6491301257110895
300,430.0,2.520503,0.638861,1.6491301257110895
300,440.0,2.497845,0.631432,1.6491301257110895
300,450.0,2.492783,0.638766,1.6491301257110895
300,460.0,2.509634,0.649436,1.6491301257110895
300,470.0,2.546244,0.650488,1.6491301257110895
300,480.0,2.592999,0.632106,1.6491301257110895
300,490.0,2.636436,0.592488,1.6491301257110895
300,500.0,2.665878,0.538134,1.6491301257110895
300,510.0,2.677517,0.47905,1.6491301257110895
300,520.0,2.673461,0.423594,1.6491301257110895
300,530.0,2.65842,0.376464,1.6491301257110895
300,540.0,2.637163,0.339281,1.6491301257110895
300,550.0,2.61352,0.311882,1.6491301257110895
300,560.0,2.590348,0.293292,1.6491301257110895
300,570.0,2.569836,0.282186,1.6491301257110895
300,580.0,2.553772,0.276935,1.6491301257110895
300,590.0,2.543576,0.275426,1.6491301257110895
300,600.0,2.539979,0.274897,1.6491301257110895
300,610.0,2.542327,0.272005,1.6491301257110895
300,620.0,2.547847,0.264248,1.6491301257110895
300,630.0,2.552889,0.251318,1.6491301257110895
300,640.0,2.554604,0.235175,1.6491301257110895
300,650.0,2.552165,0.218764,1.6491301257110895
300,660.0,2.546544,0.204479,1.6491301257110895
300,670.0,2.539511,0.193535,1.6491301257110895
300,680.0,2.532877,0.18616,1.6491301257110895
300,690.0,2.528259,0.181977,1.6491301257110895
300,700.0,2.52719,0.180204,1.6491301257110895
300,710.0,2.53134,0.179492,1.6491301257110895
300,720.0,2.542552,0.177261,1.6491301257110895
300,730.0,2.561954,0.168349,1.6491301257110895
300,740.0,2.586141,0.144097,1.6491301257110895
300,750.0,2.600373,0.09848,1.6491301257110895
300,760.0,2.585489,0.045511,1.6491301257110895
300,770.0,2.547402,0.012559999999999998,1.6491301257110895
300,780.0,2.511961,0.00493,1.6491301257110895
300,790.0,2.489591,0.003674,1.6491301257110895
300,800.0,2.47241,0.002665,1.6491301257110895
300,810.0,2.458114,0.001872,1.6491301257110895
300,820.0,2.445765,0.001265,1.6491301257110895
300,830.0,2.434862,0.0008210000000000001,1.6491301257110895
300,840.0,2.425104,0.000518,1.6491301257110895
300,850.0,2.416306,0.000318,1.6491301257110895
300,860.0,2.408296,0.000172,1.6491301257110895
300,870.0,2.400944,7.3e-05,1.6491301257110895
300,880.0,2.39416,1.7e-05,1.6491301257110895
300,890.0,2.387877,0.0,1.6491301257110895
300,900.0,2.382053,0.0,1.6491301257110895
300,910.0,2.376619,0.0,1.6491301257110895
300,920.0,2.371529,0.0,1.6491301257110895
300,930.0,2.366744,0.0,1.6491301257110895
300,940.0,2.362232,0.0,1.6491301257110895
300,950.0,2.357969,0.0,1.6491301257110895
300,960.0,2.353931,0.0,1.6491301257110895
300,970.0,2.350099,0.0,1.6491301257110895
300,980.0,2.346456,0.0,1.6491301257110895
300,990.0,2.342987,0.0,1.6491301257110895
300,1000.0,2.339679,0.0,1.6491301257110895
300,1010.0,2.336519,0.0,1.6491301257110895
300,1020.0,2.333498,0.0,1.6491301257110895
300,1030.0,2.330606,0.0,1.6491301257110895
300,1040.0,2.327833,0.0,1.6491301257110895
300,1050.0,2.325174,0.0,1.6491301257110895
300,1060.0,2.322619,0.0,1.6491301257110895
300,1070.0,2.320164,0.0,1.6491301257110895
300,1080.0,2.317801,0.0,1.6491301257110895
